index,dialog_id,unique_id,role,content,intent,music_attribute
2,b8e368058df16085,b8e368058df16085:0:user,user,"hi, I'd like to listen to Mike Oldfield music, particularly from the early stages in his career","['initial_query', 'greeting', 'add_filter']","['artist', 'year']"
3,b8e368058df16085,b8e368058df16085:0:system,system,Super! Would that be Tubluar Bell?,"['detail_attribute_request', 'sympathetic_response']",['track']
4,b8e368058df16085,b8e368058df16085:1:user,user,"yes, please",['others'],['none']
5,b8e368058df16085,b8e368058df16085:1:system,system,[MUSIC]Here's Man in the Rain and Moonlight Shadow.,"['parroting_response', 'passive_recommend']",['track']
6,b8e368058df16085,b8e368058df16085:2:user,user,There are great! Perhaps can I get a few songs from Ommadawn?,"['add_filter', 'accept_response']",['track']
7,b8e368058df16085,b8e368058df16085:2:system,system,[MUSIC]Sure thing!,"['sympathetic_response', 'passive_recommend']",['none']
8,b8e368058df16085,b8e368058df16085:3:user,user,Thank you,['accept_response'],['none']
9,b8e368058df16085,b8e368058df16085:3:system,system,"[MUSIC]You're Welcome! How about from Hergest Ridge? In Dulce Jublio fits, right?","['detail_attribute_request', 'sympathetic_response', 'active_recommend']",['track']
10,b8e368058df16085,b8e368058df16085:4:user,user,"Yes, they are amazing. I cold never give thumbs down to Mike Oldfied. Can you please also include songs from his Platinum album?","['add_filter', 'accept_response']",['artist']
11,b8e368058df16085,b8e368058df16085:4:system,system,[MUSIC]Talking a look right now!,"['sympathetic_response', 'passive_recommend']",['none']
12,b8e368058df16085,b8e368058df16085:5:user,user,ok,['accept_response'],['none']
13,b8e368058df16085,b8e368058df16085:5:system,system,Is it the Crossroads Album?,['others'],['track']
14,b8e368058df16085,b8e368058df16085:6:user,user,Platinum is the album I think,['others'],['none']
15,b8e368058df16085,b8e368058df16085:6:system,system,[MUSIC]I see! ha ha. Here's Charleston and I got Rhythm and a few more. Thanks for your patience!,"['parroting_response', 'sympathetic_response', 'passive_recommend', 'active_recommend']",['track']
16,b8e368058df16085,b8e368058df16085:7:user,user,Thank you! I think that is it,['accept_response'],['none']
17,b8e368058df16085,b8e368058df16085:7:system,system,[MUSIC]Super! I enjoyed finding these excellent sounds!,"['sympathetic_response', 'active_recommend']",['none']
18,f00f030c8b4e784e,f00f030c8b4e784e:0:user,user,I want to create a playlist of classical music,"['initial_query', 'add_filter']",['genre']
19,f00f030c8b4e784e,f00f030c8b4e784e:0:system,system,[MUSIC]Sure. Hope ya like these ones.,"['sympathetic_response', 'passive_recommend']",['none']
